month_start,department,category,scenario,amount,source
2021-01-01,Marketing,Infrastructure,Budget,1335398.0,budget_vs_actual
2021-01-01,Marketing,Marketing,Actual,2530684.0,budget_vs_actual
2021-01-01,Marketing,Marketing,Budget,1861402.0,budget_vs_actual
2021-01-01,Marketing,Salaries,Actual,1181244.0,budget_vs_actual
2021-01-01,Marketing,Salaries,Budget,682912.0,budget_vs_actual
2021-01-01,Marketing,Training,Actual,2374540.0,budget_vs_actual
2021-01-01,Marketing,Training,Budget,1503784.0,budget_vs_actual
2021-01-01,Marketing,Travel,Actual,1468470.0,budget_vs_actual
2021-01-01,Marketing,Travel,Budget,923404.0,budget_vs_actual
2021-01-01,Marketing,Utilities,Actual,1649046.0,budget_vs_actual
2021-01-01,Marketing,Utilities,Budget,2261298.0,budget_vs_actual
2021-01-01,Operations,Infrastructure,Actual,992298.0,budget_vs_actual
2021-01-01,Operations,Infrastructure,Budget,849098.0,budget_vs_actual
2021-01-01,Operations,Marketing,Actual,665950.0,budget_vs_actual
2021-01-01,Operations,Marketing,Budget,242036.0,budget_vs_actual
2021-01-01,Operations,Salaries,Actual,1522325.0,budget_vs_actual
2021-01-01,Operations,Salaries,Budget,1271026.0,budget_vs_actual
2021-01-01,Operations,Training,Actual,1834242.0,budget_vs_actual
2021-01-01,Operations,Training,Budget,1372474.0,budget_vs_actual
2021-01-01,Operations,Travel,Actual,1528296.0,budget_vs_actual
2021-01-01,Operations,Travel,Budget,1175254.0,budget_vs_actual
2021-01-01,Operations,Utilities,Actual,1268360.0,budget_vs_actual
2021-01-01,Operations,Utilities,Budget,1257018.0,budget_vs_actual
2021-01-01,Sales,Infrastructure,Actual,1528058.0,budget_vs_actual
2021-01-01,Sales,Infrastructure,Budget,1326158.0,budget_vs_actual
2021-01-01,Sales,Marketing,Actual,887348.0,budget_vs_actual
2021-01-01,Sales,Marketing,Budget,899076.0,budget_vs_actual
2021-01-01,Sales,Salaries,Actual,1554017.0,budget_vs_actual
2021-01-01,Sales,Salaries,Budget,1373560.0,budget_vs_actual
2021-01-01,Sales,Training,Actual,2254082.0,budget_vs_actual
2021-01-01,Sales,Training,Budget,1606900.0,budget_vs_actual
2021-01-01,Sales,Travel,Actual,1815926.0,budget_vs_actual
2021-01-01,Sales,Travel,Budget,1778688.0,budget_vs_actual
2021-01-01,Sales,Utilities,Actual,875868.0,budget_vs_actual
2021-01-01,Sales,Utilities,Budget,775812.0,budget_vs_actual
2021-02-01,Finance,Infrastructure,Actual,1561424.0,budget_vs_actual
2021-02-01,Finance,Infrastructure,Budget,1593750.0,budget_vs_actual
2021-02-01,Finance,Marketing,Actual,795906.0,budget_vs_actual
2021-02-01,Finance,Marketing,Budget,385984.0,budget_vs_actual
2021-02-01,Finance,Salaries,Actual,402402.0,budget_vs_actual
2021-02-01,Finance,Salaries,Budget,460168.0,budget_vs_actual
2021-02-01,Finance,Training,Actual,1618832.0,budget_vs_actual
2021-02-01,Finance,Training,Budget,1301280.0,budget_vs_actual
2021-02-01,Finance,Travel,Actual,1688284.0,budget_vs_actual
2021-02-01,Finance,Travel,Budget,1489976.0,budget_vs_actual
2021-02-01,Finance,Utilities,Actual,1062840.0,budget_vs_actual
2021-02-01,Finance,Utilities,Budget,1070574.0,budget_vs_actual
2021-02-01,HR,Infrastructure,Actual,576574.0,budget_vs_actual
2021-02-01,HR,Infrastructure,Budget,290834.0,budget_vs_actual
2021-02-01,HR,Marketing,Actual,1923468.0,budget_vs_actual
2021-02-01,HR,Marketing,Budget,1457720.0,budget_vs_actual
2021-02-01,HR,Salaries,Actual,712384.0,budget_vs_actual
2021-02-01,HR,Salaries,Budget,418732.0,budget_vs_actual
2021-02-01,HR,Training,Actual,1031960.0,budget_vs_actual
2021-02-01,HR,Training,Budget,1079344.0,budget_vs_actual
2021-02-01,HR,Travel,Actual,2524868.0,budget_vs_actual
2021-02-01,HR,Travel,Budget,2235964.0,budget_vs_actual
2021-02-01,HR,Utilities,Actual,1001278.0,budget_vs_actual
2021-02-01,HR,Utilities,Budget,1118552.0,budget_vs_actual
2021-02-01,IT,Infrastructure,Actual,461500.0,budget_vs_actual
2021-02-01,IT,Infrastructure,Budget,627450.0,budget_vs_actual
2021-02-01,IT,Marketing,Actual,1279428.0,budget_vs_actual
2021-02-01,IT,Marketing,Budget,1385290.0,budget_vs_actual
2021-02-01,IT,Salaries,Actual,775474.0,budget_vs_actual
2021-02-01,IT,Salaries,Budget,537464.0,budget_vs_actual
2021-02-01,IT,Training,Actual,573422.0,budget_vs_actual
2021-02-01,IT,Training,Budget,698352.0,budget_vs_actual
2021-02-01,IT,Travel,Actual,1799142.0,budget_vs_actual
2021-02-01,IT,Travel,Budget,1480186.0,budget_vs_actual
2021-02-01,IT,Utilities,Actual,1762976.0,budget_vs_actual
2021-02-01,IT,Utilities,Budget,900664.0,budget_vs_actual
2021-02-01,Marketing,Infrastructure,Actual,521294.0,budget_vs_actual
2021-02-01,Marketing,Infrastructure,Budget,605908.0,budget_vs_actual
2021-02-01,Marketing,Marketing,Actual,974912.0,budget_vs_actual
2021-02-01,Marketing,Marketing,Budget,504154.0,budget_vs_actual
2021-02-01,Marketing,Salaries,Actual,662964.0,budget_vs_actual
2021-02-01,Marketing,Salaries,Budget,497412.0,budget_vs_actual
2021-02-01,Marketing,Training,Actual,1632194.0,budget_vs_actual
2021-02-01,Marketing,Training,Budget,1555388.0,budget_vs_actual
2021-02-01,Marketing,Travel,Actual,1206162.0,budget_vs_actual
2021-02-01,Marketing,Travel,Budget,928492.0,budget_vs_actual
2021-02-01,Marketing,Utilities,Actual,783192.0,budget_vs_actual
2021-02-01,Marketing,Utilities,Budget,855218.0,budget_vs_actual
2021-02-01,Operations,Infrastructure,Actual,2671968.0,budget_vs_actual
2021-02-01,Operations,Infrastructure,Budget,1930574.0,budget_vs_actual
2021-02-01,Operations,Marketing,Actual,1192834.0,budget_vs_actual
2021-02-01,Operations,Marketing,Budget,1355018.0,budget_vs_actual
2021-02-01,Operations,Salaries,Actual,411984.0,budget_vs_actual
2021-02-01,Operations,Salaries,Budget,377906.0,budget_vs_actual
2021-02-01,Operations,Training,Actual,956500.0,budget_vs_actual
2021-02-01,Operations,Training,Budget,1193480.0,budget_vs_actual
2021-02-01,Operations,Travel,Actual,859832.0,budget_vs_actual
2021-02-01,Operations,Travel,Budget,826178.0,budget_vs_actual
2021-02-01,Operations,Utilities,Actual,1667350.0,budget_vs_actual
2021-02-01,Operations,Utilities,Budget,1922962.0,budget_vs_actual
2021-02-01,Sales,Infrastructure,Actual,880804.0,budget_vs_actual
2021-02-01,Sales,Infrastructure,Budget,828598.0,budget_vs_actual
2021-02-01,Sales,Marketing,Actual,1264242.0,budget_vs_actual
2021-02-01,Sales,Marketing,Budget,1177474.0,budget_vs_actual
2021-02-01,Sales,Salaries,Actual,1343674.0,budget_vs_actual
2021-02-01,Sales,Salaries,Budget,1213142.0,budget_vs_actual
2021-02-01,Sales,Training,Actual,1493642.0,budget_vs_actual
2021-02-01,Sales,Training,Budget,910306.0,budget_vs_actual
2021-02-01,Sales,Travel,Actual,852524.0,budget_vs_actual
2021-02-01,Sales,Travel,Budget,819222.0,budget_vs_actual
2021-02-01,Sales,Utilities,Actual,336292.0,budget_vs_actual
2021-02-01,Sales,Utilities,Budget,251530.0,budget_vs_actual
2021-03-01,Finance,Infrastructure,Actual,1859662.0,budget_vs_actual
2021-03-01,Finance,Infrastructure,Budget,951674.0,budget_vs_actual
2021-03-01,Finance,Marketing,Actual,1064420.0,budget_vs_actual
2021-03-01,Finance,Marketing,Budget,952790.0,budget_vs_actual
2021-03-01,Finance,Salaries,Actual,1312358.0,budget_vs_actual
2021-03-01,Finance,Salaries,Budget,801010.0,budget_vs_actual
2021-03-01,Finance,Training,Actual,1804220.0,budget_vs_actual
2021-03-01,Finance,Training,Budget,910940.0,budget_vs_actual
2021-03-01,Finance,Travel,Actual,890964.0,budget_vs_actual
2021-03-01,Finance,Travel,Budget,800316.0,budget_vs_actual
2021-03-01,Finance,Utilities,Actual,1191358.0,budget_vs_actual
2021-03-01,Finance,Utilities,Budget,703864.0,budget_vs_actual
2021-03-01,HR,Infrastructure,Actual,1148098.0,budget_vs_actual
2021-03-01,HR,Infrastructure,Budget,1054552.0,budget_vs_actual
2021-03-01,HR,Marketing,Actual,109068.0,budget_vs_actual
2021-03-01,HR,Marketing,Budget,28962.0,budget_vs_actual
2021-03-01,HR,Salaries,Actual,1154632.0,budget_vs_actual
2021-03-01,HR,Salaries,Budget,1072050.0,budget_vs_actual
2021-03-01,HR,Training,Actual,1251916.0,budget_vs_actual
2021-03-01,HR,Training,Budget,1035900.0,budget_vs_actual
2021-03-01,HR,Travel,Actual,1773360.0,budget_vs_actual
2021-03-01,HR,Travel,Budget,2327638.0,budget_vs_actual
2021-03-01,HR,Utilities,Actual,2108712.0,budget_vs_actual
2021-03-01,HR,Utilities,Budget,1539104.0,budget_vs_actual
2021-03-01,IT,Infrastructure,Actual,732498.0,budget_vs_actual
2021-03-01,IT,Infrastructure,Budget,930278.0,budget_vs_actual
2021-03-01,IT,Marketing,Actual,1609378.0,budget_vs_actual
2021-03-01,IT,Marketing,Budget,1702258.0,budget_vs_actual
2021-03-01,IT,Salaries,Actual,2609538.0,budget_vs_actual
2021-03-01,IT,Salaries,Budget,1739510.0,budget_vs_actual
2021-03-01,IT,Training,Actual,851150.0,budget_vs_actual
2021-03-01,IT,Training,Budget,1325548.0,budget_vs_actual
2021-03-01,IT,Travel,Actual,809174.0,budget_vs_actual
2021-03-01,IT,Travel,Budget,714200.0,budget_vs_actual
2021-03-01,IT,Utilities,Actual,1890812.0,budget_vs_actual
2021-03-01,IT,Utilities,Budget,1163882.0,budget_vs_actual
2021-03-01,Marketing,Infrastructure,Actual,894814.0,budget_vs_actual
2021-03-01,Marketing,Infrastructure,Budget,459490.0,budget_vs_actual
2021-03-01,Marketing,Marketing,Actual,2107648.0,budget_vs_actual
2021-03-01,Marketing,Marketing,Budget,1826348.0,budget_vs_actual
2021-03-01,Marketing,Salaries,Actual,632480.0,budget_vs_actual
2021-03-01,Marketing,Salaries,Budget,660822.0,budget_vs_actual
2021-03-01,Marketing,Training,Actual,1955044.0,budget_vs_actual
2021-03-01,Marketing,Training,Budget,1717568.0,budget_vs_actual
2021-03-01,Marketing,Travel,Actual,1200878.0,budget_vs_actual
2021-03-01,Marketing,Travel,Budget,886710.0,budget_vs_actual
2021-03-01,Marketing,Utilities,Actual,1969642.0,budget_vs_actual
2021-03-01,Marketing,Utilities,Budget,1623350.0,budget_vs_actual
2021-03-01,Operations,Infrastructure,Actual,313172.0,budget_vs_actual
2021-03-01,Operations,Infrastructure,Budget,200668.0,budget_vs_actual
2021-03-01,Operations,Marketing,Actual,1516846.0,budget_vs_actual
2021-03-01,Operations,Marketing,Budget,1331524.0,budget_vs_actual
2021-03-01,Operations,Salaries,Actual,2063510.0,budget_vs_actual
2021-03-01,Operations,Salaries,Budget,754256.0,budget_vs_actual
2021-03-01,Operations,Training,Actual,1457120.0,budget_vs_actual
2021-03-01,Operations,Training,Budget,1425744.0,budget_vs_actual
2021-03-01,Operations,Travel,Actual,885986.0,budget_vs_actual
2021-03-01,Operations,Travel,Budget,627406.0,budget_vs_actual
2021-03-01,Operations,Utilities,Actual,875714.0,budget_vs_actual
2021-03-01,Operations,Utilities,Budget,991210.0,budget_vs_actual
2021-03-01,Sales,Infrastructure,Actual,1191342.0,budget_vs_actual
2021-03-01,Sales,Infrastructure,Budget,1019994.0,budget_vs_actual
2021-03-01,Sales,Marketing,Actual,2653266.0,budget_vs_actual
2021-03-01,Sales,Marketing,Budget,1937020.0,budget_vs_actual
2021-03-01,Sales,Salaries,Actual,301404.0,budget_vs_actual
2021-03-01,Sales,Salaries,Budget,541902.0,budget_vs_actual
2021-03-01,Sales,Training,Actual,1194716.0,budget_vs_actual
2021-03-01,Sales,Training,Budget,1171170.0,budget_vs_actual
2021-03-01,Sales,Travel,Actual,1066826.0,budget_vs_actual
2021-03-01,Sales,Travel,Budget,879422.0,budget_vs_actual
2021-03-01,Sales,Utilities,Actual,2140092.0,budget_vs_actual
2021-03-01,Sales,Utilities,Budget,1686320.0,budget_vs_actual
2021-04-01,Finance,Infrastructure,Actual,1944192.0,budget_vs_actual
2021-04-01,Finance,Infrastructure,Budget,1036488.0,budget_vs_actual
2021-04-01,Finance,Marketing,Actual,1651064.0,budget_vs_actual
2021-04-01,Finance,Marketing,Budget,1237710.0,budget_vs_actual
2021-04-01,Finance,Salaries,Actual,749690.0,budget_vs_actual
2021-04-01,Finance,Salaries,Budget,723846.0,budget_vs_actual
2021-04-01,Finance,Training,Actual,1326194.0,budget_vs_actual
2021-04-01,Finance,Training,Budget,877754.0,budget_vs_actual
2021-04-01,Finance,Travel,Actual,1742202.0,budget_vs_actual
2021-04-01,Finance,Travel,Budget,1829246.0,budget_vs_actual
2021-04-01,Finance,Utilities,Actual,1332738.0,budget_vs_actual
2021-04-01,Finance,Utilities,Budget,1172252.0,budget_vs_actual
2021-04-01,HR,Infrastructure,Actual,366764.0,budget_vs_actual
2021-04-01,HR,Infrastructure,Budget,443228.0,budget_vs_actual
2021-04-01,HR,Marketing,Actual,1832308.0,budget_vs_actual
2021-04-01,HR,Marketing,Budget,1519444.0,budget_vs_actual
2021-04-01,HR,Salaries,Actual,1363044.0,budget_vs_actual
2021-04-01,HR,Salaries,Budget,999138.0,budget_vs_actual
2021-04-01,HR,Training,Actual,1259826.0,budget_vs_actual
2021-04-01,HR,Training,Budget,1244778.0,budget_vs_actual
2021-04-01,HR,Travel,Actual,1472964.0,budget_vs_actual
2021-04-01,HR,Travel,Budget,1502938.0,budget_vs_actual
2021-04-01,HR,Utilities,Actual,1653506.0,budget_vs_actual
2021-04-01,HR,Utilities,Budget,937882.0,budget_vs_actual
2021-04-01,IT,Infrastructure,Actual,2046684.0,budget_vs_actual
2021-04-01,IT,Infrastructure,Budget,1545270.0,budget_vs_actual
2021-04-01,IT,Marketing,Actual,706172.0,budget_vs_actual
2021-04-01,IT,Marketing,Budget,510010.0,budget_vs_actual
2021-04-01,IT,Salaries,Actual,755162.0,budget_vs_actual
2021-04-01,IT,Salaries,Budget,915228.0,budget_vs_actual
2021-04-01,IT,Training,Actual,238818.0,budget_vs_actual
2021-04-01,IT,Training,Budget,77756.0,budget_vs_actual
2021-04-01,IT,Travel,Actual,893080.0,budget_vs_actual
2021-04-01,IT,Travel,Budget,665584.0,budget_vs_actual
2021-04-01,IT,Utilities,Actual,1227920.0,budget_vs_actual
2021-04-01,IT,Utilities,Budget,1569300.0,budget_vs_actual
2021-04-01,Marketing,Infrastructure,Actual,703110.0,budget_vs_actual
2021-04-01,Marketing,Infrastructure,Budget,517156.0,budget_vs_actual
2021-04-01,Marketing,Marketing,Actual,1190720.0,budget_vs_actual
2021-04-01,Marketing,Marketing,Budget,820934.0,budget_vs_actual
2021-04-01,Marketing,Salaries,Actual,1741378.0,budget_vs_actual
2021-04-01,Marketing,Salaries,Budget,1015580.0,budget_vs_actual
2021-04-01,Marketing,Training,Actual,2117888.0,budget_vs_actual
2021-04-01,Marketing,Training,Budget,1073130.0,budget_vs_actual
2021-04-01,Marketing,Travel,Actual,1722922.0,budget_vs_actual
2021-04-01,Marketing,Travel,Budget,1129372.0,budget_vs_actual
2021-04-01,Marketing,Utilities,Actual,297338.0,budget_vs_actual
2021-04-01,Marketing,Utilities,Budget,488454.0,budget_vs_actual
2021-04-01,Operations,Infrastructure,Actual,997688.0,budget_vs_actual
2021-04-01,Operations,Infrastructure,Budget,610584.0,budget_vs_actual
2021-04-01,Operations,Marketing,Actual,796738.0,budget_vs_actual
2021-04-01,Operations,Marketing,Budget,536246.0,budget_vs_actual
2021-04-01,Operations,Salaries,Actual,1923694.0,budget_vs_actual
2021-04-01,Operations,Salaries,Budget,1097136.0,budget_vs_actual
2021-04-01,Operations,Training,Actual,1469404.0,budget_vs_actual
2021-04-01,Operations,Training,Budget,1618334.0,budget_vs_actual
2021-04-01,Operations,Travel,Actual,304828.0,budget_vs_actual
2021-04-01,Operations,Travel,Budget,350782.0,budget_vs_actual
2021-04-01,Operations,Utilities,Actual,1251924.0,budget_vs_actual
2021-04-01,Operations,Utilities,Budget,985578.0,budget_vs_actual
2021-04-01,Sales,Infrastructure,Actual,1164180.0,budget_vs_actual
2021-04-01,Sales,Infrastructure,Budget,826048.0,budget_vs_actual
2021-04-01,Sales,Marketing,Actual,2395530.0,budget_vs_actual
2021-04-01,Sales,Marketing,Budget,2176722.0,budget_vs_actual
2021-04-01,Sales,Salaries,Actual,1808000.0,budget_vs_actual
2021-04-01,Sales,Salaries,Budget,2010714.0,budget_vs_actual
2021-04-01,Sales,Training,Actual,1893932.0,budget_vs_actual
2021-04-01,Sales,Training,Budget,1224092.0,budget_vs_actual
2021-04-01,Sales,Travel,Actual,2100754.0,budget_vs_actual
2021-04-01,Sales,Travel,Budget,1963530.0,budget_vs_actual
2021-04-01,Sales,Utilities,Actual,2285852.0,budget_vs_actual
2021-04-01,Sales,Utilities,Budget,2168248.0,budget_vs_actual
2021-05-01,Finance,Infrastructure,Actual,2099004.0,budget_vs_actual
2021-05-01,Finance,Infrastructure,Budget,1649356.0,budget_vs_actual
2021-05-01,Finance,Marketing,Actual,1547170.0,budget_vs_actual
2021-05-01,Finance,Marketing,Budget,1144390.0,budget_vs_actual
2021-05-01,Finance,Salaries,Actual,1154660.0,budget_vs_actual
2021-05-01,Finance,Salaries,Budget,1099552.0,budget_vs_actual
2021-05-01,Finance,Training,Actual,1943114.0,budget_vs_actual
2021-05-01,Finance,Training,Budget,1500644.0,budget_vs_actual
2021-05-01,Finance,Travel,Actual,1164042.0,budget_vs_actual
2021-05-01,Finance,Travel,Budget,1309388.0,budget_vs_actual
2021-05-01,Finance,Utilities,Actual,1699984.0,budget_vs_actual
2021-05-01,Finance,Utilities,Budget,1204344.0,budget_vs_actual
2021-05-01,HR,Infrastructure,Actual,2124120.0,budget_vs_actual
2021-05-01,HR,Infrastructure,Budget,1603584.0,budget_vs_actual
2021-05-01,HR,Marketing,Actual,1520262.0,budget_vs_actual
2021-05-01,HR,Marketing,Budget,1611218.0,budget_vs_actual
2021-05-01,HR,Salaries,Actual,1288370.0,budget_vs_actual
2021-05-01,HR,Salaries,Budget,1425086.0,budget_vs_actual
2021-05-01,HR,Training,Actual,1805724.0,budget_vs_actual
2021-05-01,HR,Training,Budget,1667066.0,budget_vs_actual
2021-05-01,HR,Travel,Actual,771638.0,budget_vs_actual
2021-05-01,HR,Travel,Budget,1146580.0,budget_vs_actual
2021-05-01,HR,Utilities,Actual,1547392.0,budget_vs_actual
2021-05-01,HR,Utilities,Budget,1322732.0,budget_vs_actual
2021-05-01,IT,Infrastructure,Actual,1299672.0,budget_vs_actual
2021-05-01,IT,Infrastructure,Budget,1265978.0,budget_vs_actual
2021-05-01,IT,Marketing,Actual,871114.0,budget_vs_actual
2021-05-01,IT,Marketing,Budget,781250.0,budget_vs_actual
2021-05-01,IT,Salaries,Actual,1255750.0,budget_vs_actual
2021-05-01,IT,Salaries,Budget,517698.0,budget_vs_actual
2021-05-01,IT,Training,Actual,2279152.0,budget_vs_actual
2021-05-01,IT,Training,Budget,2104718.0,budget_vs_actual
2021-05-01,IT,Travel,Actual,1038978.0,budget_vs_actual
2021-05-01,IT,Travel,Budget,1086282.0,budget_vs_actual
2021-05-01,IT,Utilities,Actual,1802306.0,budget_vs_actual
2021-05-01,IT,Utilities,Budget,2211236.0,budget_vs_actual
2021-05-01,Marketing,Infrastructure,Actual,911152.0,budget_vs_actual
2021-05-01,Marketing,Infrastructure,Budget,735848.0,budget_vs_actual
2021-05-01,Marketing,Marketing,Actual,1938780.0,budget_vs_actual
2021-05-01,Marketing,Marketing,Budget,1921394.0,budget_vs_actual
2021-05-01,Marketing,Salaries,Actual,1886996.0,budget_vs_actual
2021-05-01,Marketing,Salaries,Budget,1789262.0,budget_vs_actual
2021-05-01,Marketing,Training,Actual,1330344.0,budget_vs_actual
2021-05-01,Marketing,Training,Budget,1269720.0,budget_vs_actual
2021-05-01,Marketing,Travel,Actual,470562.0,budget_vs_actual
2021-05-01,Marketing,Travel,Budget,708408.0,budget_vs_actual
2021-05-01,Marketing,Utilities,Actual,2100632.0,budget_vs_actual
2021-05-01,Marketing,Utilities,Budget,1792070.0,budget_vs_actual
2021-05-01,Operations,Infrastructure,Actual,1158508.0,budget_vs_actual
2021-05-01,Operations,Infrastructure,Budget,1205060.0,budget_vs_actual
2021-05-01,Operations,Marketing,Actual,784512.0,budget_vs_actual
2021-05-01,Operations,Marketing,Budget,522362.0,budget_vs_actual
2021-05-01,Operations,Salaries,Actual,1078766.0,budget_vs_actual
2021-05-01,Operations,Salaries,Budget,746670.0,budget_vs_actual
2021-05-01,Operations,Training,Actual,1585544.0,budget_vs_actual
2021-05-01,Operations,Training,Budget,1510098.0,budget_vs_actual
2021-05-01,Operations,Travel,Actual,1735586.0,budget_vs_actual
2021-05-01,Operations,Travel,Budget,1780834.0,budget_vs_actual
2021-05-01,Operations,Utilities,Actual,1457032.0,budget_vs_actual
2021-05-01,Operations,Utilities,Budget,993130.0,budget_vs_actual
2021-05-01,Sales,Infrastructure,Actual,1639501.0,budget_vs_actual
2021-05-01,Sales,Infrastructure,Budget,989574.0,budget_vs_actual
2021-05-01,Sales,Marketing,Actual,953828.0,budget_vs_actual
2021-05-01,Sales,Marketing,Budget,1475682.0,budget_vs_actual
2021-05-01,Sales,Salaries,Actual,2317386.0,budget_vs_actual
2021-05-01,Sales,Salaries,Budget,1800976.0,budget_vs_actual
2021-05-01,Sales,Training,Actual,1654458.0,budget_vs_actual
2021-05-01,Sales,Training,Budget,1108094.0,budget_vs_actual
2021-05-01,Sales,Travel,Actual,1759138.0,budget_vs_actual
2021-05-01,Sales,Travel,Budget,1955126.0,budget_vs_actual
2021-05-01,Sales,Utilities,Actual,2411294.0,budget_vs_actual
2021-05-01,Sales,Utilities,Budget,2283712.0,budget_vs_actual
2021-06-01,Finance,Infrastructure,Actual,1817562.0,budget_vs_actual
2021-06-01,Finance,Infrastructure,Budget,2179090.0,budget_vs_actual
2021-06-01,Finance,Marketing,Actual,1546584.0,budget_vs_actual
2021-06-01,Finance,Marketing,Budget,1193910.0,budget_vs_actual
2021-06-01,Finance,Salaries,Actual,1111186.0,budget_vs_actual
2021-06-01,Finance,Salaries,Budget,1438878.0,budget_vs_actual
2021-06-01,Finance,Training,Actual,1374976.0,budget_vs_actual
2021-06-01,Finance,Training,Budget,1358302.0,budget_vs_actual
2021-06-01,Finance,Travel,Actual,906566.0,budget_vs_actual
2021-06-01,Finance,Travel,Budget,1208280.0,budget_vs_actual
2021-06-01,Finance,Utilities,Actual,1268094.0,budget_vs_actual
2021-06-01,Finance,Utilities,Budget,946402.0,budget_vs_actual
2021-06-01,HR,Infrastructure,Actual,356184.0,budget_vs_actual
2021-06-01,HR,Infrastructure,Budget,550108.0,budget_vs_actual
2021-06-01,HR,Marketing,Actual,781496.0,budget_vs_actual
2021-06-01,HR,Marketing,Budget,858512.0,budget_vs_actual
2021-06-01,HR,Salaries,Actual,1591950.0,budget_vs_actual
2021-06-01,HR,Salaries,Budget,1264958.0,budget_vs_actual
2021-06-01,HR,Training,Actual,682260.0,budget_vs_actual
2021-06-01,HR,Training,Budget,445588.0,budget_vs_actual
2021-06-01,HR,Travel,Actual,1608946.0,budget_vs_actual
2021-06-01,HR,Travel,Budget,1558742.0,budget_vs_actual
2021-06-01,HR,Utilities,Actual,1371732.0,budget_vs_actual
2021-06-01,HR,Utilities,Budget,1833996.0,budget_vs_actual
2021-06-01,IT,Infrastructure,Actual,1733040.0,budget_vs_actual
2021-06-01,IT,Infrastructure,Budget,1628098.0,budget_vs_actual
2021-06-01,IT,Marketing,Actual,1233168.0,budget_vs_actual
2021-06-01,IT,Marketing,Budget,1715342.0,budget_vs_actual
2021-06-01,IT,Salaries,Actual,987056.0,budget_vs_actual
2021-06-01,IT,Salaries,Budget,830182.0,budget_vs_actual
2021-06-01,IT,Training,Actual,1125180.0,budget_vs_actual
2021-06-01,IT,Training,Budget,1294678.0,budget_vs_actual
2021-06-01,IT,Travel,Actual,1166946.0,budget_vs_actual
2021-06-01,IT,Travel,Budget,1700082.0,budget_vs_actual
2021-06-01,IT,Utilities,Actual,1204432.0,budget_vs_actual
2021-06-01,IT,Utilities,Budget,1646658.0,budget_vs_actual
2021-06-01,Marketing,Infrastructure,Actual,620354.0,budget_vs_actual
2021-06-01,Marketing,Infrastructure,Budget,248492.0,budget_vs_actual
2021-06-01,Marketing,Marketing,Actual,1214512.0,budget_vs_actual
2021-06-01,Marketing,Marketing,Budget,845440.0,budget_vs_actual
2021-06-01,Marketing,Salaries,Actual,1811650.0,budget_vs_actual
2021-06-01,Marketing,Salaries,Budget,1747526.0,budget_vs_actual
2021-06-01,Marketing,Training,Actual,679684.0,budget_vs_actual
2021-06-01,Marketing,Training,Budget,475906.0,budget_vs_actual
2021-06-01,Marketing,Travel,Actual,549940.0,budget_vs_actual
2021-06-01,Marketing,Travel,Budget,1034592.0,budget_vs_actual
2021-06-01,Marketing,Utilities,Actual,1329274.0,budget_vs_actual
