Date,Department,Category,Region,Budget Amount,Actual Amount,Payment Method,Transaction ID
6/16/2021 0:00,Operations,Training,North,12261,123857,Cash,TXN100033
1/23/2022 0:00,IT,Marketing,North,42323,118946,Cash,TXN100034
8/24/2022 0:00,HR,Salaries,East,45864,130300,Bank Transfer,TXN100035
11/12/2021 0:00,Marketing,Marketing,North,17927,121002,UPI,TXN100036
1/14/2021 0:00,Marketing,Infrastructure,West,92256,104791,UPI,TXN100037
8/30/2021 0:00,Marketing,Training,North,94903,29787,UPI,TXN100038
2/16/2023 0:00,Operations,Marketing,Central,131686,136324,Bank Transfer,TXN100039
7/19/2022 0:00,Operations,Utilities,Central,64150,56793,Cash,TXN100040
6/17/2023 0:00,HR,Marketing,North,117167,21289,Bank Transfer,TXN100041
4/2/2021 0:00,Sales,Travel,North,23056,63766,Card,TXN100042
8/14/2023 0:00,Operations,Travel,Central,20798,13931,Card,TXN100043
5/24/2022 0:00,Marketing,Infrastructure,West,116491,35040,Card,TXN100044
2/15/2023 0:00,Sales,Infrastructure,South,61747,122329,Card,TXN100045
2/4/2021 0:00,Operations,Infrastructure,East,45738,156344,Card,TXN100046
7/25/2021 0:00,Finance,Utilities,Central,27227,138197,Card,TXN100047
10/23/2023 0:00,IT,Training,North,93800,73939,UPI,TXN100048
10/19/2023 0:00,Operations,Utilities,East,136531,20801,UPI,TXN100049
7/20/2022 0:00,Finance,Marketing,North,69461,114280,Card,TXN100050
12/4/2022 0:00,HR,Salaries,South,67848,35064,Bank Transfer,TXN100051
2/6/2022 0:00,Finance,Training,South,34685,11985,Cash,TXN100052
12/31/2022 0:00,HR,Travel,Central,101517,89796,Card,TXN100053
6/11/2021 0:00,Operations,Travel,East,129180,166687,Card,TXN100054
7/21/2021 0:00,HR,Travel,East,13480,67466,Bank Transfer,TXN100055
9/23/2023 0:00,Finance,Marketing,South,25860,132052,UPI,TXN100056
9/27/2021 0:00,IT,Marketing,North,78578,14549,Bank Transfer,TXN100057
3/27/2023 0:00,Sales,Infrastructure,Central,67230,78664,Cash,TXN100058
4/1/2022 0:00,Sales,Salaries,West,67026,20801,Cash,TXN100059
10/14/2023 0:00,IT,Infrastructure,South,16564,121901,Bank Transfer,TXN100060
10/23/2021 0:00,Marketing,Marketing,South,30012,59380,Card,TXN100061
12/21/2022 0:00,Sales,Utilities,Central,64169,22590,UPI,TXN100062
12/4/2021 0:00,Operations,Infrastructure,North,36341,18505,Card,TXN100063
5/29/2023 0:00,Marketing,Training,East,56841,85906,Card,TXN100064
12/13/2023 0:00,Operations,Marketing,South,102584,67228,Card,TXN100065
3/3/2023 0:00,Finance,Marketing,Central,53335,88129,Card,TXN100066
8/5/2021 0:00,Finance,Utilities,Central,65155,99695,UPI,TXN100067
2/3/2023 0:00,Marketing,Utilities,Central,108314,71275,Bank Transfer,TXN100068
7/7/2021 0:00,Marketing,Utilities,East,39527,37621,Cash,TXN100069
1/15/2022 0:00,Marketing,Salaries,South,105466,27538,Cash,TXN100070
5/8/2022 0:00,Marketing,Training,Central,60653,77024,UPI,TXN100071
12/1/2023 0:00,HR,Marketing,East,111907,23332,Bank Transfer,TXN100072
1/15/2021 0:00,Marketing,Utilities,North,43057,158234,UPI,TXN100073
3/6/2021 0:00,Marketing,Salaries,West,113992,32594,Card,TXN100074
6/5/2022 0:00,Finance,Travel,South,17393,19793,UPI,TXN100075
10/10/2022 0:00,Operations,Training,East,85404,28850,Bank Transfer,TXN100076
12/23/2023 0:00,Finance,Travel,West,101956,68438,Cash,TXN100077
8/16/2022 0:00,Sales,Travel,West,94613,31936,UPI,TXN100078
1/27/2022 0:00,HR,Marketing,East,69171,120442,Cash,TXN100079
2/23/2022 0:00,HR,Salaries,East,39336,11827,Cash,TXN100080
10/16/2021 0:00,Operations,Salaries,East,22014,66889,Cash,TXN100081
1/14/2022 0:00,Marketing,Travel,Central,149446,133306,Bank Transfer,TXN100082
8/19/2021 0:00,Finance,Training,North,101513,54790,Card,TXN100083
10/15/2023 0:00,Sales,Infrastructure,Central,146656,74352,Card,TXN100084
2/10/2021 0:00,Finance,Travel,West,94769,68215,Bank Transfer,TXN100085
11/18/2023 0:00,Marketing,Marketing,West,136092,161382,Card,TXN100086
5/15/2021 0:00,Marketing,Travel,West,38782,66207,Card,TXN100087
7/20/2021 0:00,IT,Training,East,120463,69643,Card,TXN100088
2/19/2023 0:00,Finance,Training,South,95847,85319,UPI,TXN100089
7/19/2023 0:00,Operations,Travel,Central,98434,81095,Card,TXN100090
11/23/2023 0:00,Finance,Salaries,South,70773,126060,UPI,TXN100091
12/8/2023 0:00,HR,Travel,North,24110,50890,Cash,TXN100092
5/18/2022 0:00,Sales,Utilities,North,98512,103736,UPI,TXN100093
2/11/2022 0:00,Operations,Utilities,Central,15825,146080,Card,TXN100094
3/16/2023 0:00,IT,Infrastructure,West,144560,67544,Bank Transfer,TXN100095
4/9/2021 0:00,Sales,Marketing,North,77431,118930,Cash,TXN100096
11/15/2022 0:00,Sales,Marketing,South,78444,162348,Cash,TXN100097
12/27/2022 0:00,HR,Salaries,South,76947,118079,UPI,TXN100098
8/19/2023 0:00,HR,Marketing,East,146529,132412,Bank Transfer,TXN100099
9/5/2022 0:00,HR,Infrastructure,West,48216,61044,Card,TXN100100
10/5/2022 0:00,Operations,Utilities,East,103230,27184,UPI,TXN100101
10/26/2023 0:00,Finance,Salaries,Central,18847,29633,UPI,TXN100102
5/18/2022 0:00,Sales,Training,North,24658,33368,Cash,TXN100103
2/6/2023 0:00,Finance,Utilities,East,136878,35045,UPI,TXN100104
2/2/2022 0:00,Finance,Infrastructure,East,39676,77919,Bank Transfer,TXN100105
5/21/2023 0:00,HR,Salaries,Central,10645,117390,UPI,TXN100106
3/6/2023 0:00,Finance,Travel,South,107476,99881,UPI,TXN100107
1/28/2022 0:00,Sales,Marketing,South,88236,69261,Bank Transfer,TXN100108
7/26/2021 0:00,Sales,Infrastructure,Central,28618,63464,UPI,TXN100109
11/5/2023 0:00,Marketing,Salaries,South,71859,109454,Card,TXN100110
6/11/2023 0:00,IT,Utilities,Central,68827,135046,UPI,TXN100111
5/14/2023 0:00,Operations,Salaries,South,107389,159814,Card,TXN100112
1/13/2023 0:00,Finance,Travel,Central,135114,162322,Bank Transfer,TXN100113
7/18/2022 0:00,Operations,Infrastructure,South,106726,141649,Card,TXN100114
10/18/2023 0:00,Operations,Salaries,East,138077,143377,Bank Transfer,TXN100115
4/6/2021 0:00,Operations,Training,East,143034,61202,Card,TXN100116
4/30/2022 0:00,Marketing,Infrastructure,South,138373,100276,Card,TXN100117
8/19/2021 0:00,Operations,Infrastructure,Central,136076,154023,Bank Transfer,TXN100118
1/19/2023 0:00,Marketing,Utilities,East,72397,18018,Bank Transfer,TXN100119
6/25/2022 0:00,Sales,Marketing,North,79951,86138,Card,TXN100120
11/26/2023 0:00,Finance,Training,South,65770,96074,Bank Transfer,TXN100121
6/9/2022 0:00,Marketing,Travel,North,41545,48828,Cash,TXN100122
8/1/2022 0:00,IT,Salaries,North,18705,26330,UPI,TXN100123
11/13/2022 0:00,Operations,Marketing,West,20704,152314,Card,TXN100124
7/11/2022 0:00,IT,Utilities,North,38671,42340,Cash,TXN100125
10/10/2023 0:00,Sales,Marketing,North,31203,102468,Cash,TXN100126
10/8/2022 0:00,Sales,Infrastructure,West,91927,68989,Cash,TXN100127
3/7/2023 0:00,HR,Infrastructure,West,130503,21823,Bank Transfer,TXN100128
11/18/2023 0:00,Operations,Travel,West,102115,90119,UPI,TXN100129
7/9/2021 0:00,HR,Training,Central,22451,125065,Card,TXN100130
9/25/2022 0:00,IT,Salaries,West,121372,77604,UPI,TXN100131
9/20/2022 0:00,Finance,Salaries,Central,130102,16281,Card,TXN100132
8/31/2023 0:00,HR,Utilities,South,106613,79734,UPI,TXN100133
12/11/2022 0:00,Sales,Travel,Central,85856,95951,UPI,TXN100134
10/11/2022 0:00,Operations,Salaries,South,68642,49051,Cash,TXN100135
11/14/2021 0:00,IT,Training,West,97656,100215,Bank Transfer,TXN100136
11/15/2022 0:00,Marketing,Infrastructure,West,44612,138226,Card,TXN100137
10/26/2022 0:00,Sales,Travel,South,128299,65283,Card,TXN100138
3/18/2022 0:00,Marketing,Marketing,East,139848,67309,Card,TXN100139
7/18/2022 0:00,Finance,Travel,Central,97606,151420,Cash,TXN100140
8/10/2023 0:00,Operations,Travel,North,108983,71335,Cash,TXN100141
11/30/2022 0:00,Finance,Training,West,17190,51124,Cash,TXN100142
4/23/2021 0:00,Finance,Training,Central,39617,90509,Cash,TXN100143
1/2/2021 0:00,Operations,Salaries,Central,119319,135211,Cash,TXN100144
10/4/2022 0:00,Operations,Utilities,West,106931,132960,UPI,TXN100145
8/8/2021 0:00,Marketing,Utilities,South,10009,93558,Card,TXN100146
5/5/2023 0:00,Finance,Training,West,124291,60466,UPI,TXN100147
1/20/2022 0:00,IT,Salaries,Central,90739,32459,Cash,TXN100148
12/13/2023 0:00,Marketing,Salaries,East,63368,53076,Bank Transfer,TXN100149
12/31/2022 0:00,Operations,Salaries,South,85914,18080,Cash,TXN100150
9/4/2021 0:00,Sales,Training,West,58847,28168,Cash,TXN100151
4/16/2023 0:00,Marketing,Utilities,North,85755,91097,Cash,TXN100152
7/22/2021 0:00,HR,Salaries,West,105491,41225,Card,TXN100153
5/3/2021 0:00,IT,Training,Central,108347,142037,Card,TXN100154
2/5/2022 0:00,Marketing,Marketing,Central,50094,40438,Bank Transfer,TXN100155
2/6/2023 0:00,Operations,Marketing,North,137791,147565,Card,TXN100156
10/21/2021 0:00,Operations,Infrastructure,South,136489,111467,Cash,TXN100157
10/7/2021 0:00,IT,Marketing,Central,103893,166963,Bank Transfer,TXN100158
6/3/2023 0:00,HR,Travel,South,50544,48955,Bank Transfer,TXN100159
7/17/2021 0:00,Marketing,Infrastructure,South,102398,119010,Bank Transfer,TXN100160
9/9/2023 0:00,Marketing,Marketing,West,57660,155517,Cash,TXN100161
1/22/2023 0:00,Finance,Travel,South,83736,41625,Card,TXN100162
5/24/2021 0:00,Sales,Marketing,Central,81168,91260,UPI,TXN100163
9/1/2022 0:00,Operations,Training,Central,44630,33393,Card,TXN100164
7/6/2021 0:00,Marketing,Travel,East,14711,166755,UPI,TXN100165
4/9/2022 0:00,Marketing,Salaries,South,12457,29399,Cash,TXN100166
10/22/2022 0:00,Marketing,Training,East,86732,159108,Card,TXN100167
2/3/2023 0:00,HR,Travel,West,88375,125991,Cash,TXN100168
8/13/2023 0:00,Sales,Training,East,49467,57941,Cash,TXN100169
2/7/2022 0:00,Marketing,Salaries,South,17157,34656,Bank Transfer,TXN100170
5/27/2021 0:00,IT,Travel,Central,120357,165689,Card,TXN100171
5/14/2023 0:00,Operations,Travel,West,12714,108606,Bank Transfer,TXN100172
5/4/2022 0:00,Finance,Training,South,37217,107377,Card,TXN100173
7/18/2023 0:00,IT,Marketing,West,50132,116527,Cash,TXN100174
7/5/2022 0:00,Operations,Travel,North,106653,39766,Bank Transfer,TXN100175
12/4/2021 0:00,HR,Marketing,South,90792,81097,Cash,TXN100176
5/22/2023 0:00,Sales,Travel,North,66371,138929,UPI,TXN100177
10/3/2022 0:00,Sales,Utilities,East,66788,118864,Cash,TXN100178
4/18/2022 0:00,Operations,Infrastructure,South,19583,157338,UPI,TXN100179
5/31/2021 0:00,IT,Marketing,North,52042,143417,UPI,TXN100180
9/20/2021 0:00,Finance,Marketing,Central,100405,156716,Bank Transfer,TXN100181
5/24/2021 0:00,HR,Salaries,East,87807,80583,Bank Transfer,TXN100182
12/12/2021 0:00,Operations,Utilities,South,78371,133061,Card,TXN100183
9/16/2022 0:00,HR,Salaries,South,149085,115590,Card,TXN100184
10/14/2023 0:00,Sales,Utilities,Central,88775,52889,Bank Transfer,TXN100185
5/31/2023 0:00,Marketing,Utilities,Central,46973,158992,Card,TXN100186
1/2/2021 0:00,Marketing,Training,North,77690,123990,Cash,TXN100187
6/16/2023 0:00,Finance,Training,North,79459,77850,Cash,TXN100188
9/11/2021 0:00,HR,Training,North,41558,116519,Cash,TXN100189
3/29/2022 0:00,Operations,Travel,West,118350,11474,Cash,TXN100190
11/27/2023 0:00,Finance,Salaries,East,50030,95768,Cash,TXN100191
10/12/2023 0:00,IT,Infrastructure,South,46636,32039,UPI,TXN100192
1/9/2021 0:00,Marketing,Utilities,East,119528,22104,Cash,TXN100193
3/27/2023 0:00,Operations,Utilities,Central,73566,136404,Card,TXN100194
7/27/2021 0:00,HR,Marketing,East,61159,25786,Bank Transfer,TXN100195
2/8/2022 0:00,Finance,Travel,East,66025,54716,Bank Transfer,TXN100196
6/1/2021 0:00,Operations,Infrastructure,North,119463,138738,Card,TXN100197
2/23/2021 0:00,Finance,Training,Central,22434,130914,Card,TXN100198
9/20/2022 0:00,Finance,Utilities,East,56096,59269,Card,TXN100199
8/10/2022 0:00,Finance,Marketing,South,57471,161265,Bank Transfer,TXN100200
4/14/2021 0:00,HR,Salaries,North,66004,95950,Card,TXN100201
9/11/2021 0:00,Operations,Utilities,East,20487,24791,Card,TXN100202
5/25/2022 0:00,Sales,Marketing,Central,85925,127363,UPI,TXN100203
4/9/2021 0:00,Sales,Salaries,South,106925,86429,UPI,TXN100204
6/2/2021 0:00,HR,Travel,Central,123500,111807,UPI,TXN100205
7/3/2023 0:00,HR,Training,Central,19610,14224,Bank Transfer,TXN100206
5/28/2023 0:00,Marketing,Salaries,Central,63551,113909,Card,TXN100207
12/4/2021 0:00,Finance,Utilities,West,23869,35685,Cash,TXN100208
4/2/2023 0:00,Operations,Infrastructure,South,98466,102045,Bank Transfer,TXN100209
8/15/2023 0:00,Operations,Salaries,Central,32979,26476,UPI,TXN100210
6/10/2021 0:00,IT,Infrastructure,West,21492,130214,UPI,TXN100211
3/12/2023 0:00,IT,Infrastructure,North,125381,84598,Bank Transfer,TXN100212
2/2/2022 0:00,Sales,Salaries,West,70920,115474,Bank Transfer,TXN100213
3/27/2023 0:00,IT,Travel,North,122784,9484,Card,TXN100214
2/5/2022 0:00,IT,Salaries,West,104257,100526,Bank Transfer,TXN100215
10/2/2022 0:00,Sales,Marketing,Central,33409,27760,Cash,TXN100216
11/23/2023 0:00,Marketing,Training,West,126443,14326,Cash,TXN100217
11/19/2022 0:00,Sales,Infrastructure,West,70428,132802,Bank Transfer,TXN100218
4/5/2022 0:00,IT,Training,Central,36455,78723,Cash,TXN100219
8/13/2023 0:00,Operations,Utilities,North,141919,133477,Card,TXN100220
4/15/2022 0:00,IT,Infrastructure,Central,86699,120325,Bank Transfer,TXN100221
11/12/2023 0:00,Finance,Utilities,South,63213,137778,Cash,TXN100222
1/20/2023 0:00,Finance,Marketing,West,125883,22963,UPI,TXN100223
2/7/2021 0:00,Finance,Marketing,South,41849,145310,Card,TXN100224
8/18/2021 0:00,Marketing,Training,Central,81868,134197,Bank Transfer,TXN100225
7/17/2022 0:00,HR,Marketing,Central,132842,68494,Bank Transfer,TXN100226
3/14/2022 0:00,Finance,Salaries,East,146720,49328,Bank Transfer,TXN100227
1/27/2021 0:00,Operations,Infrastructure,South,41793,69790,UPI,TXN100228
8/14/2021 0:00,Marketing,Utilities,East,95240,120962,Cash,TXN100229
3/9/2023 0:00,HR,Training,South,94377,151877,Bank Transfer,TXN100230
10/11/2021 0:00,HR,Training,East,13450,94037,Cash,TXN100231
5/29/2023 0:00,Finance,Marketing,East,18418,166403,Card,TXN100232
8/18/2023 0:00,IT,Marketing,South,44575,82860,UPI,TXN100233
3/29/2022 0:00,Sales,Utilities,Central,140576,48632,UPI,TXN100234
10/17/2023 0:00,IT,Infrastructure,North,107260,124167,Card,TXN100235
3/27/2023 0:00,IT,Infrastructure,Central,124009,95268,Card,TXN100236
10/21/2022 0:00,HR,Training,North,43186,152297,Bank Transfer,TXN100237
7/1/2022 0:00,HR,Utilities,South,36451,47859,Card,TXN100238
12/9/2023 0:00,Marketing,Training,West,13155,34496,UPI,TXN100239
1/17/2021 0:00,Marketing,Travel,Central,39448,92392,Cash,TXN100240
6/7/2021 0:00,HR,Infrastructure,East,136934,8958,Cash,TXN100241
4/22/2022 0:00,Operations,Utilities,Central,138529,99868,Cash,TXN100242
12/6/2023 0:00,Operations,Utilities,South,139244,131951,Cash,TXN100243
6/2/2022 0:00,Sales,Training,West,55231,91408,Cash,TXN100244
4/9/2021 0:00,HR,Marketing,West,45399,94687,Cash,TXN100245
11/27/2023 0:00,Finance,Utilities,Central,82404,157389,UPI,TXN100246
10/7/2021 0:00,Marketing,Training,Central,58698,21584,Card,TXN100247
5/12/2022 0:00,HR,Salaries,Central,55379,165664,UPI,TXN100248
10/29/2021 0:00,Operations,Marketing,South,107275,45917,Bank Transfer,TXN100249
6/30/2021 0:00,HR,Marketing,North,144884,95672,Cash,TXN100250
8/30/2022 0:00,Operations,Infrastructure,North,33978,64569,Card,TXN100251
12/1/2022 0:00,HR,Travel,East,21531,97010,Card,TXN100252
9/20/2023 0:00,Finance,Infrastructure,South,38783,28321,Cash,TXN100253
7/10/2021 0:00,Sales,Salaries,West,23236,116798,Card,TXN100254
9/10/2021 0:00,Finance,Training,East,127485,129534,Cash,TXN100255
9/8/2023 0:00,Operations,Marketing,West,79683,119349,Bank Transfer,TXN100256
7/17/2023 0:00,Marketing,Marketing,West,103806,105313,Cash,TXN100257
5/8/2021 0:00,Marketing,Utilities,Central,143831,36858,Bank Transfer,TXN100258
1/18/2021 0:00,IT,Travel,West,23332,49838,Card,TXN100259
7/20/2022 0:00,Finance,Travel,West,63902,46336,UPI,TXN100260
7/24/2022 0:00,HR,Utilities,South,19198,72597,Card,TXN100261
11/17/2022 0:00,Sales,Salaries,Central,113307,143840,UPI,TXN100262
9/18/2022 0:00,HR,Travel,Central,116209,119467,Cash,TXN100263
5/4/2023 0:00,HR,Marketing,East,96023,126901,Card,TXN100264
8/20/2023 0:00,Finance,Salaries,Central,142853,13177,Card,TXN100265
6/4/2021 0:00,Sales,Infrastructure,North,88948,81582,Bank Transfer,TXN100266
5/5/2022 0:00,IT,Infrastructure,South,60141,145673,Cash,TXN100267
2/24/2023 0:00,HR,Salaries,East,119660,82433,UPI,TXN100268
9/3/2021 0:00,Sales,Marketing,North,41485,158145,Cash,TXN100269
11/29/2023 0:00,IT,Infrastructure,West,64351,64261,Bank Transfer,TXN100270
1/29/2023 0:00,HR,Training,North,36654,12581,Bank Transfer,TXN100271
6/22/2022 0:00,Sales,Marketing,East,61529,129975,Bank Transfer,TXN100272
7/10/2023 0:00,Finance,Utilities,Central,114349,47802,Cash,TXN100273
2/12/2022 0:00,Marketing,Travel,South,26665,132457,Bank Transfer,TXN100274
6/9/2022 0:00,Marketing,Salaries,East,72475,37698,Cash,TXN100275
4/8/2023 0:00,HR,Travel,North,57802,59119,Bank Transfer,TXN100276
6/22/2023 0:00,HR,Utilities,North,87892,68393,Card,TXN100277
2/5/2021 0:00,Sales,Infrastructure,East,46362,13080,UPI,TXN100278
11/16/2022 0:00,Marketing,Training,East,49338,72652,Cash,TXN100279
1/20/2021 0:00,HR,Marketing,East,103004,76664,UPI,TXN100280
11/17/2021 0:00,IT,Marketing,Central,106464,128023,Cash,TXN100281
5/27/2022 0:00,HR,Utilities,East,12120,70577,Cash,TXN100282
2/4/2022 0:00,Marketing,Salaries,West,120289,161278,Card,TXN100283
10/16/2022 0:00,Operations,Travel,South,10785,169522,Card,TXN100284
8/30/2023 0:00,Marketing,Training,South,66925,86117,Cash,TXN100285
4/16/2022 0:00,IT,Infrastructure,West,76473,122490,Bank Transfer,TXN100286
4/14/2023 0:00,Sales,Salaries,North,118185,130907,Cash,TXN100287
12/28/2022 0:00,IT,Training,North,39969,52569,Cash,TXN100288
5/4/2023 0:00,Operations,Training,North,75236,17811,Card,TXN100289
2/20/2021 0:00,Operations,Utilities,North,111416,85641,Card,TXN100290
7/29/2022 0:00,HR,Utilities,Central,26297,101897,UPI,TXN100291
5/30/2021 0:00,HR,Marketing,West,115741,94588,UPI,TXN100292
11/10/2021 0:00,Marketing,Infrastructure,South,40089,151032,Bank Transfer,TXN100293
7/24/2022 0:00,Finance,Salaries,West,16171,134709,UPI,TXN100294
11/1/2021 0:00,IT,Marketing,South,27874,99039,UPI,TXN100295
11/13/2022 0:00,Marketing,Infrastructure,North,69024,26162,UPI,TXN100296
4/18/2023 0:00,Finance,Travel,Central,31153,13530,Bank Transfer,TXN100297
12/14/2023 0:00,Marketing,Travel,East,114693,130779,Cash,TXN100298
9/30/2023 0:00,Operations,Marketing,East,67753,31128,Cash,TXN100299
3/20/2022 0:00,HR,Salaries,North,147713,78707,Bank Transfer,TXN100300
9/5/2022 0:00,HR,Infrastructure,North,99075,143537,Cash,TXN100301
9/20/2023 0:00,Marketing,Travel,West,14677,98275,UPI,TXN100302
9/21/2021 0:00,HR,Travel,Central,15139,37998,UPI,TXN100303
12/13/2023 0:00,Sales,Salaries,Central,67766,35333,UPI,TXN100304
10/1/2023 0:00,Marketing,Marketing,West,96049,73886,UPI,TXN100305
1/5/2021 0:00,Operations,Utilities,Central,86693,14522,Cash,TXN100306
2/13/2023 0:00,Marketing,Training,Central,67414,106504,Bank Transfer,TXN100307
5/27/2023 0:00,Marketing,Infrastructure,East,139807,97194,Bank Transfer,TXN100308
9/19/2023 0:00,HR,Travel,Central,83741,43320,Bank Transfer,TXN100309
6/3/2023 0:00,Operations,Training,North,146497,118424,Card,TXN100310
2/16/2021 0:00,Marketing,Training,East,13900,121959,Bank Transfer,TXN100311
5/17/2023 0:00,HR,Utilities,North,87347,65630,Card,TXN100312
4/3/2023 0:00,IT,Training,North,136004,64662,Bank Transfer,TXN100313
7/25/2023 0:00,Operations,Salaries,West,134463,121305,UPI,TXN100314
10/18/2022 0:00,Finance,Marketing,Central,39134,116291,Bank Transfer,TXN100315
9/26/2021 0:00,Sales,Infrastructure,Central,12817,142630,Card,TXN100316
1/5/2022 0:00,Finance,Salaries,Central,80486,81834,UPI,TXN100317
9/28/2022 0:00,Operations,Marketing,Central,148763,11513,Card,TXN100318
10/19/2022 0:00,Marketing,Salaries,East,75978,148532,Cash,TXN100319
4/30/2021 0:00,HR,Travel,South,67154,164388,Cash,TXN100320
4/11/2023 0:00,Operations,Travel,North,102195,121860,Cash,TXN100321
12/18/2023 0:00,Sales,Utilities,South,58788,57512,UPI,TXN100322
1/11/2023 0:00,Operations,Salaries,South,103039,36669,UPI,TXN100323
4/27/2021 0:00,HR,Training,South,19413,111099,Card,TXN100324
3/2/2023 0:00,Finance,Travel,East,124113,107754,UPI,TXN100325
10/10/2023 0:00,IT,Marketing,South,53400,65560,Bank Transfer,TXN100326
12/18/2023 0:00,Finance,Utilities,East,39899,39709,Card,TXN100327
9/26/2022 0:00,HR,Training,West,122683,95705,Bank Transfer,TXN100328
5/28/2022 0:00,HR,Infrastructure,West,55463,25011,UPI,TXN100329
3/13/2023 0:00,Sales,Salaries,West,10894,27651,Bank Transfer,TXN100330
7/14/2022 0:00,Operations,Travel,East,120398,8566,UPI,TXN100331
5/3/2022 0:00,Operations,Training,East,139611,44526,UPI,TXN100332
6/16/2023 0:00,Finance,Marketing,North,98777,10020,Bank Transfer,TXN100333
12/5/2022 0:00,IT,Salaries,South,56442,77066,Cash,TXN100334
8/4/2022 0:00,IT,Marketing,Central,129681,26890,UPI,TXN100335
3/1/2023 0:00,Sales,Utilities,Central,53520,83919,Card,TXN100336
5/11/2023 0:00,HR,Travel,South,113137,51882,Card,TXN100337
9/4/2021 0:00,Sales,Travel,Central,39899,33304,Cash,TXN100338
6/3/2021 0:00,Operations,Utilities,Central,88107,126016,Bank Transfer,TXN100339
9/24/2023 0:00,Marketing,Marketing,Central,141443,55742,Cash,TXN100340
11/28/2022 0:00,Marketing,Salaries,East,40193,70124,Bank Transfer,TXN100341
12/29/2023 0:00,Marketing,Marketing,East,115302,137925,Cash,TXN100342
12/7/2023 0:00,HR,Salaries,East,24464,99354,UPI,TXN100343
10/6/2023 0:00,Sales,Training,South,93323,46451,Card,TXN100344
4/4/2021 0:00,Finance,Utilities,West,59025,60754,Cash,TXN100345
8/16/2023 0:00,Operations,Infrastructure,Central,104187,92889,Card,TXN100346
10/9/2023 0:00,Marketing,Salaries,North,121710,28754,Bank Transfer,TXN100347
3/29/2022 0:00,IT,Travel,East,86248,132779,Cash,TXN100348
7/1/2023 0:00,Sales,Training,North,92927,110047,Cash,TXN100349
8/6/2021 0:00,Operations,Travel,Central,10667,143919,Cash,TXN100350
4/19/2022 0:00,Operations,Training,West,25890,89472,Cash,TXN100351
3/8/2022 0:00,IT,Travel,North,111333,46446,Card,TXN100352
12/7/2021 0:00,IT,Marketing,Central,51000,105676,UPI,TXN100353
7/5/2022 0:00,IT,Marketing,Central,130580,68489,Card,TXN100354
12/23/2021 0:00,Marketing,Marketing,East,39940,123363,UPI,TXN100355
1/23/2021 0:00,Marketing,Training,West,131878,77589,Cash,TXN100356
6/6/2022 0:00,Sales,Training,Central,129492,139994,UPI,TXN100357
3/13/2023 0:00,IT,Travel,West,34701,106711,Card,TXN100358
2/1/2023 0:00,Finance,Salaries,East,92697,58261,Cash,TXN100359
